MWP	ONames	GLON	GLAT	Width	Height	Reff	Hit	Flag	_RA.icrs	_DE.icrs
1G005070-000400S	    	005.070	-00.040	 0.58	 0.61	 0.42	 0.17	 	269.3453	-24.5979
1G008390-000100S	    	008.390	-00.010	 0.51	 0.50	 0.35	 0.17	2	271.1075	-21.6998
1G009400-000900S	    	009.400	-00.090	 0.77	 0.71	 0.52	 0.17	2	271.7125	-20.8580
1G009470-008500S	    	009.470	-00.850	 0.62	 0.58	 0.42	 0.17	 	272.4607	-21.1656
1G010230+001000S	    	010.230	+00.100	 0.67	 0.65	 0.47	 0.17	2	271.9664	-20.0404
1G012140-000400S	    	012.140	-00.040	 0.48	 0.48	 0.34	 0.17	 	273.0737	-18.4358
1G013710-000800S	    	013.710	-00.080	 0.62	 0.56	 0.42	 0.17	2	273.8994	-17.0763
1G014110-005700S	    	014.110	-00.570	 0.53	 0.52	 0.37	 0.17	2	274.5491	-16.9572
1G017560+001600S	    	017.560	+00.160	 0.68	 0.65	 0.47	 0.17	2	275.5689	-13.5708
1G019220-006400S	N24 	019.220	-00.640	 0.50	 0.48	 0.35	 0.17	2	277.0908	-12.4767
1G020050+001900S	    	020.050	+00.190	 0.52	 0.51	 0.37	 0.17	 	276.7345	-11.3559
1G020230+000800S	    	020.230	+00.080	 0.45	 0.45	 0.32	 0.17	 	276.9192	-11.2478
1G020480-006900S	    	020.480	-00.690	 0.83	 0.80	 0.57	 0.17	2	277.7331	-11.3836
1G026480-006400S	    	026.480	-00.640	 0.67	 0.69	 0.48	 0.17	2	280.4796	-06.0326
1G027770+000500S	    	027.770	+00.050	 0.45	 0.45	 0.32	 0.17	 	280.4561	-04.5699
1G028730-002300S	    	028.730	-00.230	 0.82	 0.76	 0.56	 0.17	2	281.1458	-03.8440
1G028880-000200S	    	028.880	-00.020	 0.52	 0.54	 0.37	 0.17	 	281.0273	-03.6147
1G029340-003300S	    	029.340	-00.330	 0.64	 0.67	 0.46	 0.17	 	281.5140	-03.3470
1G030380+001100S	    	030.380	+00.110	 0.96	 0.82	 0.63	 0.17	2	281.5973	-02.2208
1G030500+006200S	    	030.500	+00.620	 0.61	 0.62	 0.43	 0.17	 	281.1981	-01.8812
1G031730+007000S	    	031.730	+00.700	 0.65	 0.59	 0.44	 0.17	 	281.6883	-00.7504
1G032760-001500S	    	032.760	-00.150	 0.79	 0.69	 0.53	 0.17	2	282.9146	-00.2214
1G033260+000600S	    	033.260	+00.060	 0.65	 0.62	 0.45	 0.17	2	282.9557	+00.3193
1G033990+000000S	    	033.990	+00.000	 0.51	 0.47	 0.35	 0.17	 	283.3420	+00.9417
1G034020+002300S	    	034.020	+00.230	 0.50	 0.50	 0.36	 0.17	 	283.1510	+01.0733
1G034050+001400S	    	034.050	+00.140	 0.74	 0.75	 0.53	 0.17	2	283.2447	+01.0589
1G034210+001200S	    	034.210	+00.120	 0.54	 0.57	 0.39	 0.17	2	283.3355	+01.1922
1G035570+000700S	    	035.570	+00.070	 0.69	 0.62	 0.46	 0.17	2	284.0007	+02.3796
1G036790-002000S	    	036.790	-00.200	 0.76	 0.62	 0.49	 0.17	2	284.7990	+03.3417
1G040220-004800S	    	040.220	-00.480	 0.52	 0.52	 0.37	 0.17	 	286.6260	+06.2622
1G041250+002800S	    	041.250	+00.280	 0.58	 0.61	 0.42	 0.17	 	286.4228	+07.5262
1G044110+004300S	    	044.110	+00.430	 0.50	 0.49	 0.35	 0.17	2	287.6211	+10.1339
1G044870+002000S	    	044.870	+00.200	 0.51	 0.46	 0.34	 0.17	 	288.1859	+10.7013
1G044960-005300S	    	044.960	-00.530	 0.52	 0.53	 0.37	 0.17	 	288.8861	+10.4420
1G045940-005300S	    	045.940	-00.530	 0.45	 0.45	 0.32	 0.17	 	289.3512	+11.3090
1G047270+003500S	    	047.270	+00.350	 0.68	 0.54	 0.43	 0.17	 	289.1900	+12.8959
1G052120-004400S	    	052.120	-00.440	 0.55	 0.55	 0.39	 0.17	2	292.2802	+16.7982
1G052200+007200S	N109	052.200	+00.720	 0.53	 0.52	 0.37	 0.17	2	291.2529	+17.4211
1G053920-000700S	    	053.920	-00.070	 0.54	 0.54	 0.38	 0.17	 	292.8464	+18.5549
1G298530-005100S	    	298.530	-00.510	 0.45	 0.45	 0.32	 0.17	 	183.1104	-63.0480
1G299610+001700S	    	299.610	+00.170	 0.54	 0.54	 0.38	 0.17	 	185.6466	-62.5155
1G302250+000100S	    	302.250	+00.010	 0.56	 0.61	 0.41	 0.17	2	191.3648	-62.8538
1G303450-005500S	    	303.450	-00.550	 0.52	 0.52	 0.37	 0.17	2	194.0172	-63.4171
1G304290-003000S	    	304.290	-00.300	 0.64	 0.61	 0.44	 0.17	2	195.8664	-63.1400
1G304690+002400S	    	304.690	+00.240	 0.61	 0.65	 0.45	 0.17	 	196.6793	-62.5796
1G307480-008100S	    	307.480	-00.810	 0.48	 0.47	 0.34	 0.17	 	203.0310	-63.3219
1G311470-002000S	    	311.470	-00.200	 0.65	 0.65	 0.46	 0.17	2	211.2014	-61.8495
1G313570+001300S	    	313.570	+00.130	 0.79	 0.82	 0.57	 0.17	 	215.1571	-60.8862
1G316460-000600S	    	316.460	-00.060	 0.76	 0.71	 0.52	 0.17	 	220.7274	-59.9711
1G318700-003700S	    	318.700	-00.370	 0.49	 0.51	 0.35	 0.17	 	224.9666	-59.2520
1G320680+004400S	    	320.680	+00.440	 0.61	 0.59	 0.42	 0.17	2	227.5058	-57.5760
1G322700-003300S	    	322.700	-00.330	 0.50	 0.52	 0.36	 0.17	 	231.4388	-57.1563
1G322710-003300S	    	322.710	-00.330	 0.58	 0.58	 0.41	 0.17	2	231.4542	-57.1507
1G326640+001400S	    	326.640	+00.140	 0.93	 0.88	 0.64	 0.17	2	236.6326	-54.4651
1G329420-001600S	    	329.420	-00.160	 0.82	 0.88	 0.60	 0.17	2	240.5740	-52.9237
1G330350-002400S	    	330.350	-00.240	 0.58	 0.59	 0.42	 0.17	 	241.8066	-52.3652
1G330880-004500S	S66 	330.880	-00.450	 0.49	 0.49	 0.35	 0.17	2	242.6769	-52.1620
1G331130-004800S	S66 	331.130	-00.480	 0.47	 0.47	 0.33	 0.17	2	243.0079	-52.0135
1G332160+002600S	    	332.160	+00.260	 0.46	 0.46	 0.32	 0.17	 	243.3976	-50.7688
1G332730-000300S	    	332.730	-00.030	 0.52	 0.54	 0.37	 0.17	 	244.3637	-50.5838
1G334850+000600S	    	334.850	+00.060	 0.54	 0.68	 0.43	 0.17	 	246.5877	-49.0209
1G335360+001100S	    	335.360	+00.110	 0.80	 0.90	 0.60	 0.17	2	247.0707	-48.6191
1G335980+000900S	    	335.980	+00.090	 0.64	 0.65	 0.46	 0.17	 	247.7358	-48.1834
1G337280-001600S	    	337.280	-00.160	 0.74	 0.70	 0.51	 0.17	2	249.3215	-47.3975
1G337780-005100S	    	337.780	-00.510	 0.45	 0.45	 0.32	 0.17	 	250.1981	-47.2579
1G339150-005000S	    	339.150	-00.500	 0.82	 0.68	 0.53	 0.17	2	251.4986	-46.2174
1G344770-002200S	    	344.770	-00.220	 0.60	 0.56	 0.41	 0.17	 	256.1029	-41.6682
1G346230-003200S	    	346.230	-00.320	 0.75	 0.75	 0.53	 0.17	 	257.3741	-40.5617
1G347310+002800S	    	347.310	+00.280	 0.75	 0.65	 0.49	 0.17	2	257.5823	-39.3365
1G350280+001100S	    	350.280	+00.110	 0.46	 0.45	 0.32	 0.17	 	259.9610	-37.0225
1G351750-005800S	    	351.750	-00.580	 0.59	 0.62	 0.43	 0.17	 	261.7051	-36.1996
1G352340-004500S	    	352.340	-00.450	 0.70	 0.67	 0.49	 0.17	2	261.9772	-35.6371
1G353010-000400S	    	353.010	-00.040	 0.63	 0.66	 0.46	 0.17	 	262.0153	-34.8522
1G355540-005300S	    	355.540	-00.530	 0.54	 0.54	 0.38	 0.17	2	264.1759	-33.0009
1G356090+002900S	    	356.090	+00.290	 0.53	 0.50	 0.36	 0.17	 	263.7090	-32.0954
1G356890-001600S	    	356.890	-00.160	 0.51	 0.47	 0.34	 0.17	 	264.6623	-31.6628
1G358090-004300S	    	358.090	-00.430	 1.17	 1.16	 0.82	 0.17	2	265.6740	-30.7885
1G358370-004700S	    	358.370	-00.470	 0.69	 0.73	 0.50	 0.17	2	265.8847	-30.5713
1G358720-001300S	    	358.720	-00.130	 0.51	 0.51	 0.36	 0.17	 	265.7625	-30.0949
1G000400+004100S	    	000.400	+00.410	 0.47	 0.45	 0.32	 0.16	 	266.2441	-28.3810
1G002080-005800S	    	002.080	-00.580	 0.51	 0.50	 0.36	 0.16	 	268.1841	-27.4515
1G004000+003400S	    	004.000	+00.340	 0.65	 0.65	 0.46	 0.16	 	268.3882	-25.3303
1G004390-003600S	    	004.390	-00.360	 0.52	 0.52	 0.37	 0.16	 	269.2746	-25.3467
1G007350+000400S	    	007.350	+00.040	 0.77	 0.83	 0.57	 0.16	2	270.5077	-22.5804
1G010480+000700S	    	010.480	+00.070	 0.50	 0.50	 0.35	 0.16	 	272.1235	-19.8364
1G010930+000500S	    	010.930	+00.050	 0.46	 0.46	 0.33	 0.16	2	272.3736	-19.4525
1G011770-000400S	    	011.770	-00.040	 0.60	 0.59	 0.42	 0.16	 	272.8860	-18.7602
1G012590-000900S	    	012.590	-00.090	 0.57	 0.56	 0.40	 0.16	 	273.3473	-18.0650
1G013330-000100S	    	013.330	-00.010	 0.45	 0.45	 0.32	 0.16	 	273.6452	-17.3769
1G013430-007400S	    	013.430	-00.740	 0.59	 0.60	 0.42	 0.16	2	274.3682	-17.6365
1G014100+000900S	    	014.100	+00.090	 0.96	 0.97	 0.68	 0.16	 	273.9374	-16.6524
1G015080-001200S	    	015.080	-00.120	 0.84	 0.86	 0.60	 0.16	2	274.6148	-15.8898
1G015180-001500S	    	015.180	-00.150	 0.62	 0.61	 0.44	 0.16	2	274.6915	-15.8159
